time,M1 ctrl_p,M1 fdb_pos,M1 ctrl_v,M1 fdb_v,M1 ctrl_tff,M1 fdb_tff,M2 ctrl_p,M2 fdb_pos,M2 ctrl_v,M2 fdb_v,M2 ctrl_tff,M2 fdb_tff,M3 ctrl_p,M3 fdb_pos,M3 ctrl_v,M3 fdb_v,M3 ctrl_tff,M3 fdb_tff
0.04064369201660156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05508303642272949,0.0,-1.8793392843518735,0.0,0.0073260073260073,0.0,0.0024420024420024333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6654840924696721,0.0,-0.0073260073260073,0.0,0.0073260073260073
0.070648193359375,0.0,-0.0001907377737087046,0.0,-0.0219780219780219,0.0,-0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007438773174639479,0.0,-0.0219780219780219,0.0,0.0024420024420024333
0.08526229858398438,0.0,-0.007820248722056888,0.0,0.0073260073260073,0.0,-0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001907377737087046,0.0,-0.0073260073260073,0.0,-0.0024420024420024333
0.10228395462036133,0.0,-0.0001907377737087046,0.0,-0.0219780219780219,0.0,-0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001907377737087046,0.0,-0.0073260073260073,0.0,-0.0073260073260073
0.1190791130065918,0.0,-0.007820248722056888,0.0,-0.0073260073260073,0.0,-0.0024420024420024333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005912870984969842,0.0,-0.0219780219780219,0.0,-0.0073260073260073
0.1349647045135498,0.0,0.002861066605630569,0.0,-0.0073260073260073,0.0,-0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001907377737087046,0.0,-0.0073260073260073,0.0,-0.0073260073260073
0.15045762062072754,0.0,-0.0001907377737087046,0.0,-0.0219780219780219,0.0,-0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001907377737087046,0.0,-0.0073260073260073,0.0,-0.0024420024420024333
0.16528606414794922,0.0,-0.0001907377737087046,0.0,-0.0073260073260073,0.0,-0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005912870984969842,0.0,-0.0073260073260073,0.0,-0.0024420024420024333
0.1813199520111084,0.0,-0.0001907377737087046,0.0,0.0073260073260073,0.0,-0.0073260073260073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004386968795300206,0.0,0.0073260073260073,0.0,-0.0024420024420024333
